USER_ID,GENDER,IS_SATISFIED,AGE,OWN_HOUSE,CREDIT_SCORE,DEPOSIT,WITHDRAWAL,PURCHASE_PARTNERS,PURCHASES,PAYMENT_CARDS,CC_RECOMMEND,CC_DISLIKED,CC_LIKED,CC_APPLICATION_BEGIN,APP_DOWNLOADED,WEB_USER,APP_WEB_USER,IOS_USER,ANDRIOD_USER,TOT_PHONE_REG,PAYMENT_TYPE,LOAN_WAITING,LOAN_CANCELLED,LOAN_RECEIVED,LOAN_REJECT,ZODIAC_SIGN,LEFT_TWO_MONTH_PLUS,LEFT_AFTER_A_MONTH,REWARD_EARNED,REWARD_RATE,IS_REFERRED
55409,M,0,37,na,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,1,0,,0.0,0
23547,F,0,28,R,486.0,0,0,1,0,0,96,0,0,5,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,44.0,1.47,1
58313,M,0,35,R,561.0,47,2,86,47,0,285,0,0,9,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Capricorn,1,0,65.0,2.17,0
8095,M,0,26,R,567.0,26,3,38,25,0,74,0,0,26,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,33.0,1.1,1
61353,M,1,27,na,,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1.0,0.03,0
3120,M,1,32,R,567.0,5,3,111,5,0,227,0,0,17,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,55.0,1.83,0
41406,M,0,21,na,475.0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,2.0,0.06999999999999999,0
67679,M,0,24,na,,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Leo,0,0,1.0,0.11,0
21269,F,0,28,R,548.0,0,0,0,0,2,47,1,0,9,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,26.0,0.87,1
25788,F,0,23,na,658.0,1,0,87,1,0,125,0,0,3,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,32.0,1.07,0
13840,F,0,32,R,,0,0,30,0,0,70,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,19.0,0.83,1
25899,F,0,41,O,625.0,14,0,116,13,0,217,0,0,45,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,65.0,2.17,0
20839,F,0,20,na,550.0,0,0,135,0,0,286,0,0,21,1,1,1,1,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,66.0,2.2,1
13019,F,0,27,O,567.0,2,1,48,2,0,127,0,0,18,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,30.0,1.0,0
24387,F,0,47,na,,11,1,20,11,0,30,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,11.0,0.6900000000000001,1
65427,F,1,44,na,,0,0,0,0,1,4,0,0,1,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Libra,0,0,2.0,0.06999999999999999,0
30419,M,1,24,na,479.0,6,2,24,6,0,55,0,0,4,1,0,0,0,1,0,Weekly,0,0,0,0,Capricorn,0,0,27.0,0.9,0
30693,F,0,31,R,565.0,17,2,62,17,0,180,0,0,22,1,1,1,0,1,0,na,0,0,0,0,Libra,0,0,43.0,1.43,0
69531,M,0,20,na,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Sagittarius,1,0,,0.0,0
34733,F,1,30,na,,2,1,0,2,0,9,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,2.0,0.06999999999999999,0
66712,M,1,59,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,,0.0,0
15359,F,1,21,na,637.0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,,0.0,0
